id,E,N,lon,lat
474,619297.5838418448,722782.4253995979,-73.92099458,6.537797884999999
475,619377.7775270664,722782.597430119,-73.92026934,6.537797884999999
476,619457.9712310486,722782.7695762977,-73.9195441,6.537797884999999
477,619538.1649538027,722782.941838134,-73.91881886,6.537797884999999
478,619618.3586953443,722783.1142156282,-73.91809362000001,6.537797884999999
479,619698.5524556843,722783.2867087801,-73.91736838,6.537797884999999
480,619778.7462348341,722783.4593175903,-73.91664314,6.537797884999999
481,619858.9400328089,722783.6320420586,-73.9159179,6.537797884999999
482,619939.133849619,722783.8048821853,-73.91519266000002,6.537797884999999
483,620019.3276852806,722783.9778379704,-73.91446742,6.537797884999999
484,620099.521539801,722784.1509094142,-73.91374218,6.537797884999999
485,620179.7154131955,722784.3240965166,-73.91301694,6.537797884999999
486,620259.9093054798,722784.497399278,-73.9122917,6.537797884999999
487,620340.1032166607,722784.6708176985,-73.91156646,6.537797884999999
488,620420.2971467549,722784.844351778,-73.91084122,6.537797884999998
489,620500.4910957724,722785.0180015169,-73.91011598,6.537797884999999
490,620580.6850637284,722785.1917669153,-73.90939074,6.537797884999999
491,620660.8790506343,722785.3656479731,-73.9086655,6.537797884999999
492,620741.0730565013,722785.5396446908,-73.90794026,6.537797884999999
493,620821.2670813462,722785.7137570683,-73.90721502,6.537797884999999
494,620901.4611251759,722785.8879851057,-73.90648978,6.537797884999999
495,620981.6551880059,722786.0623288035,-73.90576454,6.537797884999999
496,621061.8492698502,722786.2367881613,-73.9050393,6.537797884999999
497,621142.0433707199,722786.4113631797,-73.90431406,6.537797884999999
498,621222.2374906278,722786.5860538585,-73.90358882,6.537797884999999
499,621302.431629585,722786.7608601981,-73.90286358,6.537797884999998
500,621382.6257876069,722786.9357821984,-73.90213834,6.537797884999999
501,621462.8199647047,722787.1108198599,-73.9014131,6.537797884999999
502,621543.0141608897,722787.2859731824,-73.90068786,6.537797885
503,621623.2083761771,722787.4612421661,-73.89996262,6.537797884999999
504,616651.6019478113,722586.374908282,-73.9449275,6.536075440000001
505,616731.7952956147,722586.5430786326,-73.94420226,6.536075440000001
506,616811.9886617602,722586.711364606,-73.94347702,6.53607544
507,616892.1820462649,722586.8797662031,-73.94275178,6.536075440000001
508,616972.3754491396,722587.0482834233,-73.94202654,6.536075440000001
509,617052.5688703957,722587.216916267,-73.9413013,6.53607544
510,617132.7623100486,722587.3856647343,-73.94057606,6.53607544
511,617212.9557681081,722587.5545288255,-73.93985082,6.536075440000001
512,617293.149244591,722587.7235085404,-73.93912558,6.536075440000001
513,617373.3427395043,722587.8926038794,-73.93840034,6.53607544
514,617453.5362528635,722588.0618148426,-73.9376751,6.53607544
515,617533.7297846824,722588.2311414302,-73.93694986,6.536075440000001
516,617613.9233349725,722588.4005836421,-73.93622462,6.536075440000001
517,617694.1169037462,722588.5701414786,-73.93549938,6.536075440000001
518,617774.3104910146,722588.7398149397,-73.93477414,6.53607544
519,617854.5040967949,722588.9096040257,-73.9340489,6.53607544
520,617934.6977210938,722589.0795087368,-73.93332366,6.536075440000001
521,618014.8913639267,722589.2495290729,-73.93259842,6.536075440000001
522,618095.0850253077,722589.4196650343,-73.93187318,6.53607544
523,618175.278705248,722589.589916621,-73.93114794,6.536075440000001
524,618255.4724037603,722589.7602838334,-73.9304227,6.536075440000001
525,618335.6661208556,722589.9307666712,-73.92969746,6.53607544
526,618415.8598565481,722590.101365135,-73.92897222,6.536075440000001
527,618496.0536108532,722590.2720792246,-73.92824698,6.53607544
528,618576.2473837778,722590.4429089403,-73.92752174,6.53607544
529,618656.4411753387,722590.6138542823,-73.9267965,6.536075440000001
530,618736.6349855457,722590.7849152504,-73.92607126,6.536075440000001
531,618816.8288144143,722590.9560918453,-73.92534602,6.536075440000002
532,618897.0226619558,722591.1273840665,-73.92462078,6.536075440000001
533,618977.2165281812,722591.2987919146,-73.92389554,6.536075440000001
534,619057.4104131074,722591.4703153896,-73.9231703,6.536075440000001
535,619137.6043167413,722591.6419544916,-73.92244506,6.536075440000001
536,619217.7982390986,722591.8137092206,-73.92171982,6.53607544
537,619297.992180193,722591.985579577,-73.92099458,6.53607544
538,619378.1861400359,722592.157565561,-73.92026934,6.536075440000001
539,619458.3801186398,722592.3296671724,-73.9195441,6.536075440000001
